num,store,location,house
28,삼영노블리안2차아파트,제주특별자치도 제주시 한림읍 한림중앙로 61-7,29
29,정다운아파트,제주특별자치도 제주시 한림읍 한림로 711,12
30,한림대성유니크2차아파트,제주특별자치도 제주시 한림읍 한림상로 218,21
31,갤럭시한수풀랜드아파트,제주특별자치도 제주시 한림읍 한림로 785,24
32,에듀골드힐더클래식,제주특별자치도 서귀포시 대정읍 일주서로 2290,83
33,라임힐,제주특별자치도 서귀포시 대정읍 영어도시로 77-6,68
34,제주에듀골드힐,제주특별자치도 서귀포시 대정읍 영어도시로 9,68
35,빌리지더휴,제주특별자치도 서귀포시 대정읍 보성구억로 217,46
36,영어도시로에디움,제주특별자치도 서귀포시 대정읍 영어도시로 51,39
37,대경엘리시아3차,제주특별자치도 서귀포시 대정읍 중산간서로 2432-2,63
38,삼정G.edu,제주특별자치도 서귀포시 대정읍 에듀시티로 148,701
39,비슬휴림,제주특별자치도 제주시 한림읍 일주서로 5624,48
40,리오팰리스,제주도 서귀포시 중산간서로 2308,21
41,라온프라이빗에듀,제주특별자치도 서귀포시 대정읍 에듀시티로 74,420
42,해동그린앤골드아파트,제주특별자치도 서귀포시 대정읍 에듀시티로 23,288
43,캐논스빌리지1아파트,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 46,108
44,캐논스빌리지2아파트,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 24,72
45,라모인빌리지,제주특별자치도 서귀포시 안덕면 녹차분재로 81,59
46,산방산코아루아이비타운,제주특별자치도 서귀포시 안덕면 사계북로 137,54
47,서귀포화순코아루푸르나임아파트,제주특별자치도 서귀포시 안덕면 화순중앙로12번길 39,88
48,제주화순블루팰리스아파트,제주특별자치도 서귀포시 안덕면 화순중앙로12번길 3,47
49,엘림피렌체1차아파트,제주특별자치도 서귀포시 안덕면 화순중앙로 95,24
50,서광아이비파크,제주특별자치도 서귀포시 안덕면 서광동로 40,80
51,신화오션빌,제주특별자치도 서귀포시 안덕면 동광로 64,54
52,대평아르테라스,제주특별자치도 서귀포시 안덕면 대평감산로 61,48
53,애월르시엘,제주특별자치도 제주시 애월읍 애월해안로 554-16,48
54,하귀푸르미르아파트,제주특별자치도 제주시 애월읍 답동2길 23-25,41
55,아름아이빌아파트,제주특별자치도 제주시 애월읍 항몽로 48,19
56,하귀코아루오션뷰아파트,제주특별자치도 제주시 애월읍 항몽로 7,132
57,서진비치빌리지아파트,제주특별자치도 제주시 애월읍 하귀12길 12,30
58,제웅명당아파트,제주특별자치도 제주시 애월읍 하귀로 43-3,19
59,제주애월하귀정암에코빌,제주특별자치도 제주시 애월읍 하광로 222-16,48
60,제주고성휴먼시아아파트,제주특별자치도 제주시 애월읍 고성서3길 15-5,207
61,제주하귀휴먼시아1단지아파트,제주특별자치도 제주시 애월읍 하귀9길 45,445
62,제주하귀휴먼시아2단지아파트,제주특별자치도 제주시 애월읍 하귀9길 71,246
63,기룡비치하임아파트,제주특별자치도 제주시 애월읍 하귀1길 1,42
64,화인플라자,제주특별자치도 서귀포시 천제연로232번길 18-6,94
65,중문미듬하나로아파트,제주특별자치도 서귀포시 천제연로232번길 18-5,66
66,중문남해오네뜨오션힐아파트,제주특별자치도 서귀포시 중문상로82번길 15,290
67,민우중문아파트,제주특별자치도 서귀포시 천제연로213번길 14-3,98
68,엘로이빌2아파트,제주특별자치도 서귀포시 중문상로 56,34
69,엘로이빌아파트,제주특별자치도 서귀포시 중문로26번길 14,26
70,조흔파크아파트,제주특별자치도 서귀포시 중문로 6-8,18
71,엘로이빌2오피스텔,제주특별자치도 서귀포시 중문상로 56,13
72,테라시티더숨,제주특별자치도 제주시 애월읍 고성남길 51,48
73,슈테른더테라스,제주특별자치도 제주시 애월읍 하광로 326,96
74,블루캐슬아파트,제주특별자치도 제주시 우정로18길 26,19
75,외도더그라벨아파트,제주특별자치도 제주시 우령서로 69,24
76,노블레스아파트,제주특별자치도 제주시 우정로8길 23,40
77,갤럭시타운아파트,제주특별자치도 제주시 우령서로 57,49
78,아정마을아파트,제주특별자치도 제주시 우령8길 26,18
79,해마루풍경아파트,제주특별자치도 제주시 우령서로 89,76
80,아름지운아파트,제주특별자치도 제주시 우정로10길 19,20
81,해든빌아파트,제주특별자치도 제주시 우정로16길 29,63
82,가인힐아파트,제주특별자치도 제주시 우정로8길 19,17
83,미소드림아파트,제주특별자치도 제주시 우정로8길 25,18
84,주영아파트,제주특별자치도 제주시 우령6길 16-8,17
85,JNC패밀리아파트,제주특별자치도 제주시 우령6길 16-5,16
86,더팰리스5차아파트,제주특별자치도 제주시 우령8길 5-8,41
87,아모르아파트,제주특별자치도 제주시 우정로6길 17,92
88,아이진아파트,제주특별자치도 제주시 수정2길 24,19
89,더펠리스3차아파트,제주특별자치도 제주시 우령6길 3-6,26
90,외도휴안2차아파트,제주특별자치도 제주시 우령서로 1,24
91,네오하임6차아파트,제주특별자치도 제주시 우정로4길 35,16
92,제이힐아파트,제주특별자치도 제주시 우령8길 14,17
93,대원상록수7차아파트,제주특별자치도 제주시 우령서로 27,19
94,덕진웰리브아파트,제주특별자치도 제주시 우령서로 5,18
95,블루베리아파트,제주특별자치도 제주시 우령6길 2,12
96,대포그랑블루아파트,제주특별자치도 서귀포시 대포연대로 61,16
97,풍림빌리지,제주특별자치도 서귀포시 대포복개로 95,183
98,중문월드,제주특별자치도 서귀포시 대포로 15,33
99,e편한세상중문아파트,제주특별자치도 서귀포시 일주서로731번길 10,280
100,푸른마을중문주공아파트,제주특별자치도 서귀포시 천제연로 239,460
101,해담은아파트,제주특별자치도 제주시 우정로7길 25,65
102,가온체리티아파트,제주특별자치도 제주시 우정로 37,46
103,대원10차상록수아파트,제주특별자치도 제주시 우령2길 2,16
104,대원상록수11차아파트,제주특별자치도 제주시 우정로15길 1,45
105,제웅2차아파트,제주특별자치도 제주시 우정로 53,12
106,재영샤르빌아파트,제주특별자치도 제주시 절물3길 32-4,20
107,오페라하우스아파트,제주특별자치도 제주시 우령2길 29-5,48
108,더펠리스2차아파트,제주특별자치도 제주시 우정로 50,40
109,챠밍1차아파트,제주특별자치도 제주시 우령4길 39,12
110,외도1차휴안아파트,제주특별자치도 제주시 우령2길 9,16
111,챠밍2차아파트,제주특별자치도 제주시 우령4길 37,18
112,수앤수빌2차아파트,제주특별자치도 제주시 절물1길 37,13
113,일우한란아파트,제주특별자치도 제주시 도근내길 2,101
114,위산엘리시움아파트,제주특별자치도 제주시 우정로4길 4-4,32
115,제웅솔내음빌리지1차아파트,제주특별자치도 제주시 우정로 17,63
116,백강수피아5차아파트,제주특별자치도 제주시 우정로4길 4,22
117,외도타워아파트,제주특별자치도 제주시 절물2길 8-7,48
118,에코그린빌3차아파트,제주특별자치도 제주시 조공포길 22,19
119,라비앙로즈아파트,제주특별자치도 제주시 절물1길 5,19
120,핀크스아파트,제주특별자치도 제주시 우정로5길 7,18
121,에코그린빌5차아파트,제주특별자치도 제주시 조공포길 8,19
122,휘닉스아파트,제주특별자치도 제주시 우정로3길 18-5,14
123,대원상록수9차아파트,제주특별자치도 제주시 절물2길 20,14
124,미듬리드빌아파트,제주특별자치도 제주시 우정로 2-1,63
125,하이어스9차,제주특별자치도 제주시 대통길 89,44
126,성지휴캐슬아파트,제주특별자치도 제주시 오광로 69,62
127,이호휴캐슬아파트,제주특별자치도 제주시 오광로 65,50
128,이호재영샤르빌13차아파트,제주특별자치도 제주시 오도11길 19-1,14
129,서진아파트,제주특별자치도 서귀포시 지세못로 29,101
130,청목더웰노형아파트,제주특별자치도 제주시 월산북길 49,104
131,뜨레모아7차,제주특별자치도 제주시 광평중길 65-1,40
132,뜨레모아10차,제주특별자치도 제주시 방일4길 46,32
133,노형이편한세상아파트,제주특별자치도 제주시 수덕로 78,350
134,미리내마을중흥S클래스아파트,제주특별자치도 제주시 광평동로 66,330
135,이안더프리미스노형,제주특별자치도 제주시 월광로 105,80
136,노형아뜨리에3차,제주특별자치도 제주시 오도9길 94,48
137,뜨레모아8차,제주특별자치도 제주시 광평중길 65,56
138,대일아파트,제주특별자치도 제주시 대동길 17-1,53
139,엘리시아아파트,제주특별자치도 제주시 대동길 10,48
140,이호재영샤르빌12차아파트,제주특별자치도 제주시 오도11길 19-11,29
141,도두블루파크시티아파트,제주특별자치도 제주시 도두항서길 41,148
142,도두네오하임2차아파트,제주특별자치도 제주시 도두항서7길 5-10,64
143,도두네오하임1차아파트,제주특별자치도 제주시 도두항서5길 10,64
144,노형탐라빌아파트,제주특별자치도 제주시 수덕9길 72,124
145,세기7차아파트,제주특별자치도 제주시 정존3길 34,96
146,세방아파트,제주특별자치도 제주시 정존9길 32-4,76
147,이화1차아파트,제주특별자치도 제주시 수덕5길 44,48
148,노형영진2차아파트,제주특별자치도 제주시 수덕5길 72,48
149,헤레스노형아파트,제주특별자치도 제주시 정존3길 26,29
150,노형맨션,제주특별자치도 제주시 정존3길 12,49
151,풍성웰빙파크아파트,제주특별자치도 제주시 정존3길 11,36
152,삼환5차아파트,제주특별자치도 제주시 수덕5길 49,19
153,수덕아파트,제주특별자치도 제주시 수덕5길 54,19
154,성림미래안아파트,제주특별자치도 제주시 수덕로 75,14
155,노형지산위더스빌아파트,제주특별자치도 제주시 수덕5길 66,24
156,노형맨션아파트,제주특별자치도 제주시 정존3길 12,49
157,노형2차아이파크아파트,제주특별자치도 제주시 노형12길 24,174
158,인텔리전트한빛아파트,제주특별자치도 제주시 1100로 3349,108
159,노형뜨란채아파트,제주특별자치도 제주시 수덕로 44,1068
160,노형수선화아파트,제주특별자치도 제주시 수덕로 25,120
161,노형삼환2차아파트,제주특별자치도 제주시 정존11길 35,95
162,대원상록수5차아파트,제주특별자치도 제주시 수덕9길 48,49
163,온산2차아파트,제주특별자치도 제주시 수덕11길 34,19
164,정든마을3단지주공아파트,제주특별자치도 제주시 정존11길 68,511
165,세기2차아파트,제주특별자치도 제주시 다랑곶2길 8,35
166,노형세기6차아파트,제주특별자치도 제주시 다랑곶1길 16,82
167,세기4차아파트,제주특별자치도 제주시 다랑곶4길 25,40
168,노형영진아파트,제주특별자치도 제주시 정존13길 23,49
169,노형동덕아파트,제주특별자치도 제주시 정존11길 30,65
170,노형세기3차아파트,제주특별자치도 제주시 수덕3길 9,49
171,노형세기1차아파트,제주특별자치도 제주시 수덕5길 2,56
172,미듬리드빌아파트,제주특별자치도 제주시 수덕5길 13,63
173,영보2차아파트,제주특별자치도 제주시 정존11길 17,39
174,노형대원상록수1차아파트,제주특별자치도 제주시 수덕7길 9,40
175,주원라비앙아파트,제주특별자치도 제주시 수덕7길 7,28
176,노블레스아파트,제주특별자치도 제주시 수덕9길 11,40
177,노형이화2차아파트,제주특별자치도 제주시 수덕로 13,30
178,지산15차위더스빌아파트,제주특별자치도 제주시 월랑로10길 12,10
179,영보3차아파트,제주특별자치도 제주시 정존11길 4,14
180,정원파인즈15차아파트,제주특별자치도 제주시 정존13길 11,28
181,덕진한누리아파트,제주특별자치도 제주시 다랑곶6길 31,13
182,노형미화2차아파트,제주특별자치도 제주시 다랑곶2길 51,42
183,노형미화1차아파트,제주특별자치도 제주시 월랑북1길 12,49
184,삼환3차아파트,제주특별자치도 제주시 월랑북길 18,71
185,노형세기5차아파트,제주특별자치도 제주시 월랑북길 43,60
186,노형지산위더스빌12차아파트,제주특별자치도 제주시 다랑곶4길 55,35
187,더도무스2차,제주특별자치도 제주시 주르레남길 25,32
188,더도무스1차,제주특별자치도 제주시 주르레남길 31,32
189,뜨레모아5차,제주특별자치도 제주시 1100로 3213-15,40
190,부영2차아파트,제주특별자치도 제주시 과원로 11,710
191,중흥S클래스아파트,제주특별자치도 제주시 한라대학로 107,372
192,부영5차아파트,제주특별자치도 제주시 과원북2길 12,384
193,으뜸마을아파트,제주특별자치도 제주시 진군1길 3,420
194,뜨레모아6차,제주특별자치도 제주시 진군남4길 7-7,48
195,대림2차e편한세상아파트,제주특별자치도 제주시 연화로 25,22
196,부영3차아파트,제주특별자치도 제주시 과원로 27,240
197,노형아이파크아파트,제주특별자치도 제주시 원노형로 90,247
198,노형벨라시티아파트,제주특별자치도 제주시 1100로 3332,96
199,해모루아파트,제주특별자치도 제주시 원노형2길 33,32
200,노형해든빌아파트,제주특별자치도 제주시 원노형2길 38,34
201,경진아트빌아파트,제주특별자치도 제주시 원노형2길 36,47
202,동마아파트,제주특별자치도 제주시 원노형2길 33-1,18
203,해마루아파트,제주특별자치도 제주시 원노형6길 31-13,10
204,아델리안오피스텔,제주특별자치도 제주시 연북로 24,49
205,대림1차e편한세상아파트,제주특별자치도 제주시 국기로 14,440
206,해오름아파트,제주특별자치도 제주시 연화로 16,346
207,부영1차아파트,제주특별자치도 제주시 원노형로 93,438
208,유나이티드아파트,제주특별자치도 제주시 원노형10길 28,197
209,노형해모로루엔아파트,제주특별자치도 제주시 원노형10길 20,157
210,디지털한빛아파트,제주특별자치도 제주시 연동4길 32,102
211,연동뜨레모아아파트,제주특별자치도 제주시 연동4길 36,84
212,도원아미스아파트,제주특별자치도 제주시 연동6길 29,36
213,연동공간에버빌아파트,제주특별자치도 제주시 신광로12길 2,12
214,연동에코그린오피스텔,제주특별자치도 제주시 연북로 70,45
215,에코빌리지아파트,제주특별자치도 제주시 노연로 30,60
216,재영샤르빌아파트,제주특별자치도 제주시 원노형5길 34,56
217,엘리시아아파트,제주특별자치도 제주시 원노형5길 28,36
218,에이스아크로빌아파트,제주특별자치도 제주시 원노형5길 30,17
219,일호지오빌아파트,제주특별자치도 제주시 노연로 15,28
220,재형샤르빌아파트,제주특별자치도 제주시 원노형8길 2,38
221,연동아파트,제주특별자치도 제주시 남녕로 17,56
222,세원멤버스아파트,제주특별자치도 제주시 원노형5길 8,24
223,세원멤버스노형1차아파트,제주특별자치도 제주시 원노형3길 13,24
224,영보아파트,제주특별자치도 제주시 원노형로 36,16
225,송우수자인아파트,제주특별자치도 제주시 원노형5길 20,35
226,노형아르모빌아파트,제주특별자치도 제주시 원노형3길 38,24
227,제원1차아파트,제주특별자치도 제주시 신광로6길 13,278
228,노형벽강하이본타워7차아파트,제주특별자치도 제주시 원노형로 35-2,79
229,연동백강스위트엠1아파트,제주특별자치도 제주시 연동4길 12-12,73
230,제원3차아파트,제주특별자치도 제주시 신광로6길 37,200
231,송우수자인아파트,제주특별자치도 제주시 원노형로 35,35
232,제원2차아파트,제주특별자치도 제주시 신광로6길 25,150
233,동서연동타워아파트,제주특별자치도 제주시 연동1길 3,49
234,에코피아아파트,제주특별자치도 제주시 노연로 50,35
235,뉴제원아파트,제주특별자치도 제주시 제원1길 23,34
236,ABC빌아파트,제주특별자치도 제주시 노연로 87,45
237,굿윌카운티아파트,제주특별자치도 제주시 연동4길 6-12,54
238,연동태림아파트,제주특별자치도 제주시 신광로8길 7,14
239,연동동방아파트,제주특별자치도 제주시 남녕로 28-4,43
240,청우아파트,제주특별자치도 제주시 도령로7길 34,30
241,연동이화아파트,제주특별자치도 제주시 성신로 13-8,64
242,신광아파트,제주특별자치도 제주시 도령로7길 20,42
243,일품아파트,제주특별자치도 제주시 성신북길 8-5,45
244,연동한일씨티파크아파트,제주특별자치도 제주시 도령로 103,160
245,대림아파트,제주특별자치도 제주시 성신로 9,109
246,타워프로빌아파트,제주특별자치도 제주시 도령로 95,120
247,신동부삼무하이빌아파트,제주특별자치도 제주시 삼무로 19,70
248,신동부삼무3차아파트,제주특별자치도 제주시 성신로1길 34,84
249,제일아파트,제주특별자치도 제주시 도령북길 7,68
250,갤럭시타운아파트,제주특별자치도 제주시 도령로 106,56
251,연동태홍누리안3차아파트,제주특별자치도 제주시 삼무로 15,48
252,연동대일아파트,제주특별자치도 제주시 성신로 16,50
253,연동펠리체아파트,제주특별자치도 제주시 도령로 73,48
254,한마음아파트,제주특별자치도 제주시 도령로11길 26-5,42
255,진호뉴캐슬아파트,제주특별자치도 제주시 도령로 111,39
256,장원타운아파트,제주특별자치도 제주시 성신로1길 18,27
257,남주아파트,제주특별자치도 제주시 도령로11길 25,65
258,연동세기2차아파트,제주특별자치도 제주시 성신로1길 13,49
259,신우스위트빌3차아파트,제주특별자치도 제주시 성신로1길 22,39
260,도원스카이타워아파트,제주특별자치도 제주시 성신로1길 14,48
261,제성대일아파트,제주특별자치도 제주시 도령북길 11,18
262,신우스위트빌2차아파트,제주특별자치도 제주시 성신로1길 42,19
263,현명모던2차아파트,제주특별자치도 제주시 도령로11길 19,13
264,연동동서드림아파트,제주특별자치도 제주시 도령북길 32,12
265,제주시연동중흥S클래스아파트,제주특별자치도 제주시 신대로 160,151
266,코스모스태홍누리안5차아파트,제주특별자치도 제주시 신대로 136,117
267,벽강하이본타워아파트,제주특별자치도 제주시 신대로22길 40,91
268,시스빌아파트,제주특별자치도 제주시 연동11길 39,70
269,크라운아트빌아파트,제주특별자치도 제주시 연동8길 15,75
270,민트하우스아파트,제주특별자치도 제주시 은남4길 19,43
271,예그린하우스텔2차아파트,제주특별자치도 제주시 은남1길 19,43
272,아델하임아파트,제주특별자치도 제주시 신대로 161,32
273,하늘그린아파트,제주특별자치도 제주시 신광로 105,27
274,제웅솔내음아파트,제주특별자치도 제주시 신대로20길 45,42
275,연동엘리시아3차아파트,제주특별자치도 제주시 은남1길 18,63
276,대원에버그린빌아파트,제주특별자치도 제주시 노연로 126,56
277,연동월드하우스아파트,제주특별자치도 제주시 연동14길 3,17
278,고정아파트,제주특별자치도 제주시 선덕로 26,34
279,신세계아파트,제주특별자치도 제주시 노연로 140,35
280,가나휘닉스1아파트,제주특별자치도 제주시 신대로20길 46,35
281,에이스아크로빌아파트,제주특별자치도 제주시 신대로 152,27
282,아산프라자아파트,제주특별자치도 제주시 신대로 166,32
283,울담뜨레빌3차아파트,제주특별자치도 제주시 비월길 26,42
284,장원훼밀리아파트,제주특별자치도 제주시 사장길 29,40
285,그린아파트,제주특별자치도 제주시 비월길 34,30
286,엠디아파트,제주특별자치도 제주시 신대로22길 14,30
287,송우아모르아파트,제주특별자치도 제주시 연동12길 14,16
288,준영푸른빌2아파트,제주특별자치도 제주시 은남1길 20,29
289,휴레스트아파트,제주특별자치도 제주시 은남1길 22,29
290,제동네스트빌아파트,제주특별자치도 제주시 신대로14길 30,15
291,현암노블레스빌아파트,제주특별자치도 제주시 신대로18길 22,32
292,크라운빌아파트,제주특별자치도 제주시 사장1길 34,31
293,정암아파트,제주특별자치도 제주시 사장1길 9,10
294,수목아파트,제주특별자치도 제주시 선덕로6길 32,23
295,제주세기아파트,제주특별자치도 제주시 연삼로 64,84
296,연동이레빌아파트,제주특별자치도 제주시 신광로1길 6,47
297,갤럭시연동빌아파트,제주특별자치도 제주시 일주서로 7898,56
298,연동엘리시아아파트,제주특별자치도 제주시 도령로15길 6,66
299,해월루아파트,제주특별자치도 제주시 삼무로3길 41,62
300,아이진빌아파트,제주특별자치도 제주시 도령로15길 4,49
301,현일센츄럴파크뷰아파트,제주특별자치도 제주시 신대로 72,48
302,장원프라자아파트,제주특별자치도 제주시 신대로10길 23,43
303,휴마루아파트,제주특별자치도 제주시 신광로1길 36,16
304,가완에어텔아파트,제주특별자치도 제주시 신광로 17,49
305,장미빌라트,제주특별자치도 제주시 연문4길 24,16
306,세준아파트,제주특별자치도 제주시 연삼로 34,31
307,초석주상복합아파트,제주특별자치도 제주시 삼무로11길 15,36
308,세원멤버스아파트,제주특별자치도 제주시 신광로1길 44,22
309,조양상떼빌아파트,제주특별자치도 제주시 연삼로 30,28
310,삼무하이든빌아파트,제주특별자치도 제주시 도령로 123,42
311,삼무파크빌아파트,제주특별자치도 제주시 도령로 128,26
312,연동리젠시빌아파트,제주특별자치도 제주시 신광로1길 20,19
313,라이오니파크1차아파트,제주특별자치도 제주시 신대로8길 34,19
314,영주빌아파트,제주특별자치도 제주시 도령로 127-10,37
315,연동학산맨션,제주특별자치도 제주시 신광로1길 10,42
316,삼무빌리지아파트,제주특별자치도 제주시 삼무로3길 39,14
317,서귀포법환코아루,제주특별자치도 서귀포시 월드컵로 77,52
318,동남서호,제주특별자치도 서귀포시 신서귀로 9,143
319,서귀포시강정지구3블럭중흥에스클래스아파트,제주특별자치도 서귀포시 대청로 12,525
320,제주강정유승한내들퍼스트오션아파트,제주특별자치도 서귀포시 대청로 34,499
321,성산,제주특별자치도 서귀포시 신서귀로97번길 84,156
322,서귀포강정골드클래스아파트,제주특별자치도 서귀포시 대청로 11,212
323,서귀포강정LH아파트,제주특별자치도 서귀포시 대청로25번길 9,450
324,한빛테크놀즈아파트,제주특별자치도 서귀포시 김정문화로27번길 13-3,44
325,서호민우,제주특별자치도 서귀포시 신서귀로 11,142
326,대림제주서호,제주특별자치도 서귀포시 신서귀로97번길 87,198
327,서호현대맨션2차,제주특별자치도 서귀포시 김정문화로 6,70
328,다온빌아파트,제주특별자치도 서귀포시 김정문화로27번길 9-2,29
329,한빛아파트아파트(160-1),제주특별자치도 서귀포시 김정문화로27번길 23-5,21
330,한빛테크놀즈아파트(158-6),제주특별자치도 서귀포시 김정문화로27번길 23-6,20
331,테라시티,제주특별자치도 제주시 아연로 135,48
332,정원파인즈13차,제주특별자치도 제주시 연북로 203,49
333,연동2차미화주택아파트,제주특별자치도 제주시 선덕로8길 20,46
334,I고운힐C,제주특별자치도 제주시 연오로 61-19,39
335,에코그린빌7차,제주특별자치도 제주시 연삼로 127-15,48
336,승진스카이아파트,제주특별자치도 제주시 용문로21길 3-1,81
337,한양아트빌라,제주특별자치도 제주시 용문로21길 30,44
338,용두암현대1차아파트,제주특별자치도 제주시 용담로5길 25,252
339,용두암현대4차아파트,제주특별자치도 제주시 용담로1길 33,47
340,남양아파트,제주특별자치도 제주시 용화로5길 14,89
341,헤르지아아파트,제주특별자치도 제주시 성화로 2,48
342,용두암현대2차아파트,제주특별자치도 제주시 용담로5길 5,56
343,용담이타스아파트,제주특별자치도 제주시 용담로1길 18,39
344,가나아파트,제주특별자치도 제주시 성화로1길 33,19
345,용담이레빌아파트,제주특별자치도 제주시 용마로1길 15,14
346,루체클래식오피스텔,제주특별자치도 서귀포시 법환로 61,14
347,현대맨션1차,제주특별자치도 서귀포시 신서귀로 10,156
348,어반나인,제주특별자치도 서귀포시 법환로58번길 11-1,48
349,삼주,제주특별자치도 서귀포시 김정문화로 66,258
350,오션스카이아파트,제주특별자치도 서귀포시 김정문화로41번길 26,19
351,대원12차상록수아파트,제주특별자치도 제주시 연사2길 20,19
352,헤르지아아파트,제주특별자치도 제주시 연사3길 9,120
353,화인퍼스트빌3차아파트,제주특별자치도 제주시 연사2길 16-11,48
354,오라뜨래별아파트,제주특별자치도 제주시 연사3길 14,66
355,벽강하이본타워4차아파트,제주특별자치도 제주시 사평6길 37-8,61
356,제주휴림힐타운아파트,제주특별자치도 제주시 연사2길 3,36
357,헤르지아2차아파트,제주특별자치도 제주시 연사길 79-1,28
358,오라미듬아뜨리에아파트,제주특별자치도 제주시 연사길 83-20,48
359,벽강하이본타워5차아파트,제주특별자치도 제주시 사평6길 37-15,20
360,회성푸르니3차아파트,제주특별자치도 제주시 연사길 60,34
361,지산21차위더스빌아파트,제주특별자치도 제주시 연사길 75,19
362,벽강하이본타워4차오피스텔,제주특별자치도 제주시 사평6길 37-8,14
363,아이린2차아파트,제주특별자치도 제주시 서광로 204,34
364,골든타워1차아파트,제주특별자치도 제주시 삼오길 21,25
365,아이린3차아파트,제주특별자치도 제주시 서광로 202-1,14
366,승신e포그니애아파트,제주특별자치도 제주시 서광로 194,19
367,장원하이빌아파트,제주특별자치도 제주시 용문로14길 14,109
368,세진아파트,제주특별자치도 제주시 평전2길 5,88
369,보성아파트,제주특별자치도 제주시 용담로18길 11,36
370,제동해피죤아파트,제주특별자치도 제주시 서사로 92,55
371,목성아파트,제주특별자치도 제주시 서광로11길 43,73
372,다올해피죤아파트,제주특별자치도 제주시 용담로 141,44
373,서림아이빌아파트,제주특별자치도 제주시 서사로 96,16
374,현일아파트,제주특별자치도 제주시 충효길 45,18
375,태흥그린피아아파트,제주특별자치도 제주시 평전1길 7,28
376,삼도이레빌2차아파트,제주특별자치도 제주시 충효길 28,18
377,화인퍼스트빌아파트,제주특별자치도 제주시 서사로 112,32
378,서사라세일아파트,제주특별자치도 제주시 평전2길 4,19
379,서원그린빌아파트,제주특별자치도 제주시 전농로 3,19
380,동서드림아파트,제주특별자치도 제주시 서사로4길 3,31
381,덕진온누리아파트,제주특별자치도 제주시 평전길 8,27
382,신한양레드빌아파트,제주특별자치도 제주시 서사로4길 22,16
383,용담평화베스트빌1차아파트,제주특별자치도 제주시 용남길 2,18
384,영남화이트빌아파트,제주특별자치도 제주시 서사로8길 3,23
385,삼도세원멤버스아파트,제주특별자치도 제주시 서사로20길 5,16
386,시스빌아파트,제주특별자치도 제주시 서사로18길 16,19
387,미래아파트,제주특별자치도 제주시 서사로6길 13,12
388,만진리치빌아파트,제주특별자치도 제주시 서사로14길 2,19
389,현대3차아파트,제주특별자치도 제주시 성화로6길 46,140
390,한라아파트,제주특별자치도 제주시 흥운길 16-1,49
391,용담월드하우스아파트,제주특별자치도 제주시 서문로5길 19,41
392,용연엔타운아파트,제주특별자치도 제주시 흥운길 57,32
393,디어하우스더프라임아파트,제주특별자치도 제주시 흥운길 55-9,20
394,해피드림아파트,제주특별자치도 제주시 용담로9길 22,19
395,서문수목아파트,제주특별자치도 제주시 서문로4길 4-1,19
396,제주서귀포혁신도시LH2단지아파트,제주특별자치도 서귀포시 서호남로 92-16,548
397,제주서귀포혁신도시LH1단지아파트,제주특별자치도 서귀포시 서호남로 92-15,450
